"""  title""  ";" "" beschrijving"" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van Frans van Aken, 1787""  ";" "" Bouwheer: van Aken, Frans. Architect: Fermont, P.L."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van Frans van Aken, 1788""  ";" "" Bouwheer: van Aken, Frans."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van graaf Philippe Maurice Dheems, 1779""  ";" "" Bouwheer: Dheems, Philippe Maurice, graaf."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van Philippe de Cock, 1784""  ";" "" Bouwheer: de Cock, Philippe."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van van Aeken, 1785""  ";" "" Bouwheer: van Aeken."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van Joannes Ludovicus de Schepper, 1777""  ";" "" Bouwheer: de Schepper, Joannes Ludovicus."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van Norbertus van Aecken, 1779""  ";" "" Bouwheer: van Aecken, Norbertus."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van Joannes Bellaen, 1760""  ";" "" Bouwheer: Bellaen, Joannes."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van Jan Baptiste Kervyn 1763""  ";" "" Bouwheer: Kervyn, Jan Baptiste."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van Jan Morel, 1764""  ";" "" Bouwheer: Morel, Jan."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van Judocus vande Plaessche, 1725""  ";" "" Bouwheer: vande Plaessche, Judocus."" "
"""  Gent: Sint-Michielsplein - Hof van Fiennes, bouwaanvraag van Jacques de Clercq, 1757""  ";" "" Bouwheer: de Clercq, Jacques."" "
"""  Gent: Sint-Martensstraat, bouwaanvraag van Leonardus Huytens, 1777""  ";" "" Bouwheer: Huytens, Leonardus."" "
"""  Gent: Sint-Michielsbrug, bouwaanvraag van de Sint-Michielskerk, 1739""  ";" "" Bouwheer: Sint-Michielskerk."" "
"""  Gent: Sint-Michielsplein, bouwaanvraag van baron van Kieseghem, 1722""  ";" "" Bouwheer: van Kieseghem, baron."" "
"""  Gent: Sint-Martensstraat, bouwaanvraag van Judocus Matheus du Bois, 1731""  ";" "" Bouwheer: du Bois, Judocus Matheus."" "
"""  Gent: Sint-Martensstraat, bouwaanvraag van Francies Odemaer, 1766""  ";" "" Bouwheer: Odemaer, Francies."" "
"""  Gent: Sint-Margrietstraat, bouwaanvraag van Frans Baston, 1783""  ";" "" Bouwheer: Baston, Frans."" "
